Datum,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note
2023-10-10,Mittagessen,807.0,18.6,12.0,0.0,0.0,0.0,0.0,640.0,208.0,53.6,0.0,37.8,106.6,0.0,38.0,16.6,0.0,
2023-10-12,Abendessen,1636.6,33.0,19.8,0.0,0.0,0.0,124.0,2860.0,208.0,182.3,17.3,38.9,174.8,0.0,19.0,16.6,0.0,
2023-10-13,Mittagessen,1586.0,43.7,10.3,0.0,0.0,0.0,0.0,2372.0,0.0,167.4,0.0,40.9,133.1,0.0,142.6,0.0,0.0,
2023-10-16,Abendessen,1441.2,56.2,27.2,0.0,0.0,0.0,0.0,5.4,830.0,78.2,5.8,32.3,147.9,0.0,49.0,0.0,0.0,
2023-10-24,Mittagessen,1383.0,37.7,17.7,0.0,0.0,0.0,0.0,2470.0,416.0,84.0,0.0,37.4,146.2,0.0,19.0,33.2,0.0,
2024-01-05,Frühstück,255.4,0.0,0.0,0.0,0.0,0.0,0.0,3.4,43.7,69.4,0.2,69.0,0.3,0.0,0.7,0.5,2.0,
2024-01-06,Abendessen,886.0,13.2,6.0,0.0,0.0,0.0,0.0,3200.4,0.0,79.0,4.0,11.0,114.0,0.0,0.0,0.0,0.0,
2024-01-07,Frühstück,787.0,26.7,8.2,0.0,0.0,0.0,0.0,0.4,0.0,62.7,3.2,9.7,78.3,0.0,0.0,0.0,0.0,
2024-01-07,Snacks,1508.3,26.1,6.7,0.1,0.0,0.0,0.0,3212.5,370.0,212.1,8.8,75.8,109.9,0.0,15.3,2.4,1.3,
2024-01-08,Snacks,1511.0,31.8,12.6,0.0,0.0,0.0,0.0,1843.4,208.0,121.2,1.0,43.0,184.6,0.0,0.0,16.6,0.0,
2024-01-09,Mittagessen,1348.1,35.9,17.3,0.1,0.0,0.0,0.0,642.6,712.0,116.2,7.8,50.0,139.0,6.0,15.3,19.8,3.3,
2024-01-09,Snacks,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,0.0,
2024-01-10,Mittagessen,2005.8,37.3,6.8,0.1,0.0,0.0,0.0,645.8,780.0,205.2,7.4,41.6,207.4,0.4,26.2,18.4,3.2,
2024-01-11,Abendessen,1119.3,41.8,18.0,0.0,0.0,0.0,0.0,640.6,208.0,80.3,0.0,15.4,104.0,0.0,0.0,16.6,0.0,
2024-01-11,Frühstück,650.6,16.6,0.1,0.0,0.0,0.0,0.0,0.0,237.1,46.5,5.0,12.2,80.2,98.0,201.2,20.9,30.0,
2024-01-11,Mittagessen,104.0,0.3,0.1,0.1,0.0,0.0,0.0,2.0,214.0,27.6,4.8,20.8,0.5,0.0,15.3,1.2,1.3,
2024-01-12,Abendessen,1453.5,69.3,18.2,0.0,0.0,0.0,0.0,877.5,1162.0,92.6,13.4,13.9,119.6,195.0,42.0,0.0,0.0,
2024-01-12,Frühstück,975.0,24.0,5.5,0.1,0.0,0.0,0.0,643.1,643.0,91.4,8.6,38.4,102.2,0.0,15.3,17.8,1.3,
2024-01-13,Mittagessen,2104.4,108.7,17.2,4.3,2.1,0.2,25.7,854.0,480.6,169.3,2.6,36.8,120.6,47.2,1.0,17.7,2.6,
2024-01-14,Mittagessen,1534.0,45.4,17.8,0.0,0.0,0.0,0.0,1282.2,858.0,151.1,5.6,51.2,139.7,0.0,0.0,33.2,0.0,
2024-01-15,Frühstück,2698.8,81.4,11.5,4.2,1.6,0.2,20.9,4602.7,259.1,306.6,3.8,168.4,144.5,43.5,1.0,17.6,2.6,
2024-01-15,Mittagessen,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-01-16,Abendessen,930.0,33.9,4.3,0.0,0.0,0.0,0.0,1801.7,221.0,51.3,1.8,27.1,104.6,0.0,0.0,0.0,0.0,
2024-01-16,Frühstück,480.0,15.6,5.4,0.0,0.0,0.0,0.0,640.0,208.0,19.9,0.0,7.0,62.7,0.0,0.0,16.6,0.0,
2024-01-17,Frühstück,392.0,8.0,0.1,0.0,0.0,0.0,0.0,700.0,0.0,15.4,0.5,0.0,62.7,0.0,0.0,0.0,0.0,
