Datum,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note
2023-05-23,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,194.0,16,,,,,
2023-05-23,Crosstrainer,Ausdauer,604.0,45,,,,,
2023-05-23,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-24,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,335.0,30,,,,,
2023-05-24,Crosstrainer,Ausdauer,132.0,12,,,,,
2023-05-24,Krafttraining (Gewichtheben),Ausdauer,382.0,47,,,,,
2023-05-24,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-25,"""Stepper-Heimtrainer, allgemein""",Ausdauer,127.0,10,,,,,
2023-05-25,Crosstrainer,Ausdauer,475.0,42,,,,,
2023-05-25,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-26,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,252.0,21,,,,,
2023-05-26,Crosstrainer,Ausdauer,122.0,10,,,,,
2023-05-26,Krafttraining (Gewichtheben),Ausdauer,390.0,55,,,,,
2023-05-26,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-27,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,359.0,56,,,,,
2023-05-27,MFP iOS calorie adjustment,Ausdauer,21.0,1,,,,,
2023-05-28,MFP iOS calorie adjustment,Ausdauer,15.0,1,,,,,
2023-05-29,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,697.0,168,,,,,
2023-05-29,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-05-30,MFP iOS calorie adjustment,Ausdauer,16.0,1,,,,,
2023-05-31,"""Stepper-Heimtrainer, allgemein""",Ausdauer,133.0,10,,,,,
2023-05-31,Crosstrainer,Ausdauer,181.0,15,,,,,
2023-05-31,Crosstrainer,Ausdauer,118.0,10,,,,,
2023-05-31,Krafttraining (Gewichtheben),Ausdauer,351.0,51,,,,,
2023-05-31,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-01,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,363.0,30,,,,,
2023-06-01,Crosstrainer,Ausdauer,393.0,30,,,,,
2023-06-01,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-02,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,587.0,115,,,,,
2023-06-02,Crosstrainer,Ausdauer,126.0,11,,,,,
2023-06-02,Krafttraining (Gewichtheben),Ausdauer,432.0,55,,,,,
2023-06-02,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-03,MFP iOS calorie adjustment,Ausdauer,56.0,1,,,,,
2023-06-04,"""Fahrradfahren,​ < 16 km/​h,​ Freizeit""",Ausdauer,413.0,86,,,,,
2023-06-04,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
2023-06-05,"""Laufen (Joggen), 8 km/h (7,5 Min. pro km)""",Ausdauer,184.0,15,,,,,
2023-06-05,Crosstrainer,Ausdauer,123.0,10,,,,,
2023-06-05,Krafttraining (Gewichtheben),Ausdauer,417.0,48,,,,,
2023-06-05,MFP iOS calorie adjustment,Ausdauer,0.0,1,,,,,
